occupation_id,skill_id,relation,occupation_label,skill_label,skill_type
http://data.europa.eu/esco/occupation/42dbb769-4c91-47dc-bd16-ec8e70c4180f,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,solar energy engineer,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/4874fa37-0cd1-4a68-aed8-a838851f242d,http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2,essential,language engineer,principles of artificial intelligence,knowledge
http://data.europa.eu/esco/occupation/4874fa37-0cd1-4a68-aed8-a838851f242d,http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a,essential,language engineer,natural language processing,knowledge
http://data.europa.eu/esco/occupation/4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,ICT business analysis manager,data mining,knowledge
http://data.europa.eu/esco/occupation/4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,ICT business analysis manager,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/4e4a1aa1-ca53-406e-9ca6-889d4621a0ed,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,essential,big data archive librarian,manage ICT data classification,skill/competence
http://data.europa.eu/esco/occupation/4e4a1aa1-ca53-406e-9ca6-889d4621a0ed,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,essential,big data archive librarian,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/4e4a1aa1-ca53-406e-9ca6-889d4621a0ed,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,optional,big data archive librarian,statistics,knowledge
http://data.europa.eu/esco/occupation/51c7015c-dc81-4fcb-b15f-619a4656a9fe,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,electromechanical engineering technician,data mining,knowledge
http://data.europa.eu/esco/occupation/51c7015c-dc81-4fcb-b15f-619a4656a9fe,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,electromechanical engineering technician,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/51c7015c-dc81-4fcb-b15f-619a4656a9fe,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,electromechanical engineering technician,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/51c7015c-dc81-4fcb-b15f-619a4656a9fe,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,electromechanical engineering technician,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,essential,hydrologist,statistics,knowledge
http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,http://data.europa.eu/esco/skill/32bbd1de-4995-4e47-84ab-fb3a2b0cfdf1,optional,hydrologist,fish identification and classification,knowledge
